State;Age;Cost_kr_Mean;Cost_kr_SE;Cost_Mean;Cost_SE;;;;;
OB2;3;0;0;0;0;;;;;
OB2;4;0;0;0;0;;;;;
OB2;5;0;0;0;0;;;;;
OB2;6;0;0;0;0;;;;;
OB2;7;0;0;0;0;;;;;
OB2;8;0;0;0;0;;;;;
OB2;9;0;0;0;0;;;;;
OB2;10;0;0;0;0;;;;;
OB2;11;0;0;0;0;;;;;
OB2;12;0;0;0;0;;;;;
OB2;13;0;0;0;0;;;;;
OB2;14;0;0;0;0;;;;;
OB2;15;0;0;0;0;;;;;
OB2;16;0;0;0;0;;;;;
OB2;17;0;0;0;0;;;;;
OB2;18;0;0;0;0;;;;;
OB2;19;0;0;0;0;;;;;
OB2;20;11616,72;1139,271;1330,895343;130,5231139;;;;;
OB2;21;11804,51;1146,808;1352,409922;131,3866071;;;;;
OB2;22;11995,08;1154,514;1374,242997;132,2694621;;;;;
OB2;23;12188,47;1162,404;1396,399152;133,1733975;;;;;
OB2;24;12384,73;1170,494;1418,884115;134,1002463;;;;;
OB2;25;12583,91;1178,799;1441,703615;135,0517271;;;;;
OB2;26;12786,03;1187,336;1464,859942;136,0297875;;;;;
OB2;27;12991,16;1196,125;1488,361116;137,0367188;;;;;
OB2;28;13199,32;1205,183;1512,209429;138,0744687;;;;;
OB2;29;13410,57;1214,53;1536,411755;139,1453285;;;;;
OB2;30;13624,96;1224,187;1560,973821;140,2517042;;;;;
OB2;31;13842,52;1234,175;1585,899066;141,3960016;;;;;
OB2;32;14063,3;1244,516;1611,193218;142,5807412;;;;;
OB2;33;14287,36;1255,235;1636,863149;143,8087873;;;;;
OB2;34;14514,75;1266,353;1662,91459;145,0825457;;;;;
OB2;35;14745,5;1277,898;1689,350977;146,4052243;;;;;
OB2;36;14979,67;1289,894;1716,179183;147,7795727;;;;;
OB2;37;15217,32;1302,367;1743,406084;149,2085696;;;;;
OB2;38;15458,49;1315,347;1771,036261;150,6956522;;;;;
OB2;39;15703,23;1328,859;1799,075443;152,2436845;;;;;
OB2;40;15951,6;1342,935;1827,530504;153,8563327;;;;;
OB2;41;16203,66;1357,603;1856,408318;155,5368047;;;;;
OB2;42;16459,45;1372,893;1885,713467;157,2885375;;;;;
OB2;43;16719,04;1388,838;1915,453973;159,1153119;;;;;
OB2;44;16982,47;1405,469;1945,634416;161,0206794;;;;;
OB2;45;17249,82;1422,818;1976,263963;163,0083061;;;;;
OB2;46;17521,12;1440,918;2007,34605;165,0819728;;;;;
OB2;47;17796,45;1459,803;2038,889844;167,2455748;;;;;
OB2;48;18075,86;1479,506;2070,901071;169,5028928;;;;;
OB2;49;18359,42;1500,062;2103,387753;171,8579366;;;;;
OB2;50;18647,18;1521,506;2136,355617;174,3147162;;;;;
OB2;51;18939,22;1543,873;2169,813828;176,8772412;;;;;
OB2;52;19235,58;1567,198;2203,76697;179,5495217;;;;;
OB2;53;19536,34;1591,517;2238,224208;182,335682;;;;;
OB2;54;19841,56;1616,865;2273,192416;185,2397319;;;;;
OB2;55;20151,31;1643,278;2308,679613;188,265796;;;;;
OB2;56;20465,66;1670,792;2344,693819;191,4179985;;;;;
OB2;57;20784,67;1699,444;2381,241909;194,7005786;;;;;
OB2;58;21108,42;1729,27;2418,333047;198,1176605;;;;;
OB2;59;21436,97;1760,306;2455,974108;201,6733688;;;;;
OB2;60;21770,39;1792,587;2494,173111;205,3717134;;;;;
OB2;61;22108,77;1826,151;2532,940368;209,2170476;;;;;
OB2;62;22452,17;1861,032;2572,282752;213,2132669;;;;;
OB2;63;22800,66;1897,269;2612,208283;217,3648393;;;;;
OB2;64;23154,33;1934,895;2652,727273;221,6755456;;;;;
OB2;65;23513,26;1973,948;2693,848886;226,1497394;;;;;
OB2;66;23877,51;2014,464;2735,579997;230,7915449;;;;;
